Class names: malignant benign

Feature names and their values:
    videoAddiction => none low medium heavy
    exercising => never occasionally regularly
    smoking => heavy medium light never
    fatIntake => low medium heavy


Training Data:



sample           class            videoAddiction   exercising       smoking          fatIntake
======================================================================================================

sample_0         benign           medium           occasionally     heavy            low
sample_1         malignant        none             occasionally     heavy            medium
sample_2         benign           low              occasionally     light            heavy
sample_3         malignant        medium           occasionally     heavy            heavy
sample_4         malignant        medium           regularly        medium           low
sample_5         benign           medium           occasionally     light            medium
sample_6         benign           none             never            medium           medium
sample_7         benign           heavy            occasionally     light            low
sample_8         benign           none             never            light            low
sample_9         benign           medium           occasionally     never            heavy
sample_10        benign           medium           regularly        never            medium
sample_11        malignant        none             regularly        light            low
sample_12        malignant        medium           regularly        light            low
sample_13        malignant        medium           never            medium           low
sample_14        malignant        none             occasionally     heavy            low
sample_15        benign           low              regularly        light            low
sample_16        benign           low              never            medium           heavy
sample_17        benign           medium           occasionally     heavy            low
sample_18        benign           low              occasionally     medium           medium
sample_19        benign           heavy            regularly        never            heavy
sample_20        malignant        heavy            never            heavy            heavy
sample_21        malignant        medium           never            medium           heavy
sample_22        malignant        low              occasionally     never            heavy
sample_23        malignant        medium           occasionally     medium           medium
sample_24        benign           medium           occasionally     heavy            heavy
sample_25        benign           low              occasionally     light            heavy
sample_26        malignant        none             regularly        light            medium
sample_27        benign           medium           occasionally     medium           low
sample_28        benign           none             occasionally     medium           medium
sample_29        benign           medium           occasionally     heavy            low
sample_30        malignant        heavy            never            heavy            medium
sample_31        malignant        none             regularly        never            low
sample_32        benign           medium           occasionally     heavy            medium
sample_33        benign           none             regularly        heavy            medium
sample_34        benign           heavy            never            heavy            heavy
